0	59	1
0	6	1
0	268	1
0	228	1
0	107	1
0	372	1
0	37	1
0	240	1
0	97	1
0	193	1
0	294	1
0	102	1
0	341	1
0	114	1
0	141	1
0	138	1
0	315	1
0	192	1
0	324	1
0	226	1
0	47	1
0	11	1
0	159	1
0	134	1
0	309	1
0	289	1
0	344	1
0	185	1
0	1	1
0	38	1
0	77	1
0	230	1
0	238	1
0	115	1
0	48	1
0	91	1
0	311	1
0	251	1
0	330	1
0	260	1
0	31	1
0	362	1
0	68	1
0	166	1
0	246	1
0	247	1
0	29	1
0	76	1
0	158	1
0	195	1
0	142	1
0	19	1
0	191	1
0	109	1
0	352	1
0	88	1
0	74	1
0	143	1
0	150	1
0	276	1
1	171	1
1	226	1
1	156	1
1	118	1
1	113	1
1	177	1
1	326	1
1	319	1
1	33	1
1	145	1
1	93	1
1	173	1
1	153	1
1	77	1
1	401	1
1	21	1
1	290	1
1	460	1
1	133	1
1	89	1
1	116	1
1	96	1
1	54	1
1	31	1
1	366	1
1	108	1
1	125	1
1	447	1
1	142	1
1	175	1
1	219	1
1	247	1
1	263	1
1	283	1
1	48	1
1	36	1
1	246	1
1	305	1
1	309	1
1	16	1
1	38	1
1	268	1
1	61	1
1	442	1
1	399	1
1	321	1
1	265	1
1	422	1
1	88	1
1	242	1
1	403	1
1	57	1
1	329	1
1	238	1
1	294	1
1	138	1
1	194	1
1	362	1
1	183	1
1	411	1
1	52	1
1	240	1
1	351	1
1	19	1
1	181	1
1	195	1
1	228	1
1	443	1
1	311	1
1	279	1
1	222	1
1	17	1
1	166	1
1	323	1
1	276	1
1	94	1
1	71	1
1	47	1
1	109	1
1	123	1
2	3	1
2	258	1
2	90	1
2	98	1
2	156	1
2	179	1
2	34	1
2	112	1
2	39	1
2	410	1
2	173	1
2	176	1
2	27	1
2	372	1
2	51	1
2	120	1
2	272	1
2	18	1
2	266	1
2	263	1
2	11	1
2	205	1
3	189	1
3	80	1
3	243	1
3	328	1
3	82	1
3	422	1
3	477	1
3	273	1
3	176	1
3	179	1
3	156	1
3	266	1
3	134	1
3	221	1
3	99	1
3	258	1
3	444	1
3	11	1
3	30	1
3	45	1
3	97	1
3	90	1
3	315	1
3	234	1
3	158	1
3	76	1
3	36	1
3	23	1
3	265	1
3	263	1
3	55	1
3	196	1
3	14	1
3	88	1
4	77	1
4	303	1
4	152	1
4	70	1
4	363	1
4	192	1
4	68	1
4	69	1
4	95	1
4	133	1
4	338	1
4	57	1
4	390	1
4	312	1
4	18	1
4	322	1
4	223	1
4	285	1
4	33	1
4	234	1
4	47	1
5	6	1
5	153	1
5	273	1
5	33	1
5	284	1
5	195	1
5	81	1
5	95	1
5	386	1
5	10	1
5	187	1
5	132	1
5	101	1
5	144	1
5	329	1
5	45	1
5	373	1
5	76	1
5	94	1
5	379	1
5	168	1
5	11	1
5	307	1
5	48	1
5	175	1
5	87	1
6	176	1
6	36	1
6	42	1
6	290	1
6	469	1
6	248	1
6	187	1
6	329	1
6	322	1
6	192	1
6	236	1
6	103	1
6	75	1
6	276	1
6	98	1
